DateHeure,Group1,Lib,Valeur
01/01/2018 13:14:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:14:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:16:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:16:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:18:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:18:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:20:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:20:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:22:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:22:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:24:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:24:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:26:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:26:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:28:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:28:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:30:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:30:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:32:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:32:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:34:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:34:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:36:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:36:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:38:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:38:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:40:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:40:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:42:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:42:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:44:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:44:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:46:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:46:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:48:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:48:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:50:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:50:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:52:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:52:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:54:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:54:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:56:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:56:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:58:00,Ambiance,CO2 Cours 205, 320
01/01/2018 13:58:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:00:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:00:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:02:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:02:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:04:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:04:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:06:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:06:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:08:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:08:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:10:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:10:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:12:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:12:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:14:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:14:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:16:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:16:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:18:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:18:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:20:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:20:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:22:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:22:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:24:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:24:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:26:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:26:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:28:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:28:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:30:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:30:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:32:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:32:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:34:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:34:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:36:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:36:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:38:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:38:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:40:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:40:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:42:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:42:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:44:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:44:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:46:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:46:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:48:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:48:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:50:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:50:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:52:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:52:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:54:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:54:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:56:00,Ambiance,CO2 Cours 205, 340
01/01/2018 14:56:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 14:58:00,Ambiance,CO2 Cours 205, 320
01/01/2018 14:58:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:00:00,Ambiance,CO2 Cours 205, 320
01/01/2018 15:00:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:02:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:02:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:04:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:04:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:06:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:06:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:08:00,Ambiance,CO2 Cours 205, 320
01/01/2018 15:08:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:10:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:10:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:12:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:12:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:14:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:14:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:16:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:16:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:18:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:18:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:20:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:20:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:22:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:22:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:24:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:24:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:26:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:26:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:28:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:28:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:30:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:30:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:32:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:32:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:34:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:34:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:36:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:36:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:38:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:38:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 15:40:00,Ambiance,CO2 Cours 205, 340
01/01/2018 15:40:00,Ambiance,Temp Cours 205," 20,5"
