DateHeure	Group1	Lib	Valeur					
01/01/2018 12:00	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:00	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:02	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:02	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:04	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:04	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:06	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:06	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:08	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:08	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:10	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:10	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:12	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:12	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:14	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:14	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:16	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:16	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:18	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:18	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:20	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:20	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:22	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:22	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:24	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:24	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:26	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:26	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:28	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:28	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:30	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:30	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:32	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:32	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:34	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:34	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:36	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:36	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:38	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:38	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:40	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:40	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:42	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:42	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:44	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:44	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:46	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:46	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:48	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:48	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:50	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:50	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:52	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:52	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:54	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:54	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:56	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:56	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 12:58	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 12:58	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 13:00	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 13:00	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
